GL Code,Category,Combined Allowed,Description,Height Limit (ft),Max Stories,Notes,Prohibited With,Residential Only,Subcategory
10010,,No,Air Conditioning Equipment--Dealers or Distributors Only,,,,,No,
10015,,No,Amusement Centers,,,,,No,
10020,,No,Amusement Parks,,,,,No,
10026,,No,Antique Stores,,,,,No,
10036,,No,Anhydrous Ammonia Dealers and Distributors,,,,,No,
10040,,No,Appliance Distributors--Household Type,,,,,No,
10042,,No,Appliance Stores--Household Type,,,,,No,
10052,,No,Archery Ranges--Indoor,,,,,No,
10054,,No,Archery Ranges--Other Than Indoor,,,,,No,
10060,,No,Army and Navy Stores,,,,,No,
10065,,No,Art Galleries--Other Than Not-For-Profit,,,,,No,
10066,,No,Art Galleries--Not-For-Profit Only,,,,,No,
10070,,No,Automobile Parts and Supplies Distributors,,,,,No,
10071,,No,Automobile Parts and Supplies Stores,,,,,No,
10072,,No,Automobile Quick Lubrication Services,,,,,No,
10073,,No,Automobile Repair or Service Shops,,,,,No,
10075,,No,Automobile Repair Shops--Self-Service,,,,,No,
10100,,No,Bakeries,,,,,No,
10101,,No,Boat Dealers,,,,,No,
10105,,No,Boat Storage and Moorage,,,,,No,
10107,,No,Boat Yards or Marinas--Public,,,,,No,
10110,,No,Boats--Canoes or Rowboats--for Rent--Not Equipped with Motors,,,,,No,
10111,,No,Barber or Beauty Shop Supplies Distributors,,,,,No,
10113,,No,Barber Shops,,,,,No,
10115,,No,Beauty Parlors and Hair Styling Salons,,,,,No,
10117,,No,Boats--Motor or Sail--Rented to Others,,,,,No,
10119,,No,Boats--Rented to Others NOC,,,,,No,
10120,,No,Bathhouses or Bathing Pavilions,,,,,No,
10130,,No,Bazaars--Operated by the Insured--Other Than Not-For-Profit,,,,,No,
10132,,No,Bazaars--Operated by the Insured--Not-For-Profit Only,,,,,No,
10133,,No,Beach Chairs and Umbrellas--Rented to Others,,,,,No,
10135,,No,Beaches--Bathing--Commercially Operated,,,,,No,
10140,,No,Beverage Distributors--Alcoholic Other Than Beer,,,,,No,
10141,,No,Beverage Distributors--Nonalcoholic and Beer,,,,,No,
10145,,No,Beverage Stores--Liquor and Wine,,,,,No,
10146,,No,Beverage Stores--Soft Drinks and Beer,,,,,No,
10150,,No,Bicycle Stores--Sales and Servicing,,,,,No,
10151,,No,Bicycles--Rented to Others,,,,,No,
10160,,No,Billiard or Pool Halls,,,,,No,
10204,,No,Books and Magazines Stores--Other Than Not-For-Profit,,,,,No,
10205,,No,Books and Magazines Stores--Not-For-Profit Only,,,,,No,
