Industry,Auto Multiplier,Base Premium Factor,Commission Rate,Cyber Multiplier,GL Multiplier,Professional Multiplier,Property Multiplier,Risk Adjustment,Umbrella Multiplier,WC Multiplier
Trucking,3.2,6500,0.15,1.2,1.9,1.3,1.4,1.5,1.9,2
Waste Management,1.8,5000,0.15,1.3,1.7,1.2,1.6,1.4,1.6,1.9
Accounting,0.9,2500,0.18,1.7,1,2.1,0.9,0.8,1.1,0.6
Warehousing,1.6,3800,0.14,1.3,1.5,1.1,1.8,1.3,1.5,1.7
Agriculture,1.6,4000,0.14,0.9,1.5,1,1.8,1.3,1.5,2
Construction,1.4,5000,0.15,1.2,1.8,1,1.5,1.3,1.6,2.2
Food Service,1.2,3000,0.13,1.2,1.5,1,1.4,1.2,1.4,1.4
Education,1.1,2500,0.15,1.5,1.2,1.4,1.3,1,1.3,1
Software Development,0.8,3200,0.22,2.8,0.9,2,0.9,0.7,1.1,0.6
Logistics,2.1,4000,0.14,1.3,1.4,1.2,1.6,1.2,1.5,1.5
Non-Profit,1.1,2000,0.12,1.4,1.2,1.3,1.2,1,1.2,1
Steel Erection,1.6,7000,0.17,1.2,2.5,1.2,1.7,1.6,2,2.8
Automotive,1.8,4500,0.14,1.2,1.4,1.1,1.5,1.2,1.5,1.6
Property Management,1.2,3200,0.15,1.5,1.3,1.6,1.4,1.1,1.3,1.2
Hospitality,1.2,3500,0.13,1.3,1.4,1.1,1.4,1.1,1.3,1.3
Transportation,2.8,6000,0.14,1.1,1.6,1.2,1.3,1.4,1.8,1.9
Technology,0.9,3500,0.2,2.5,1,1.9,1.1,0.8,1.2,0.7
Concrete,1.4,3800,0.14,1.1,1.6,1,1.4,1.3,1.4,1.8
Energy & Utilities,1.5,7500,0.16,1.7,1.7,1.4,2,1.4,1.7,1.9
Masonry,1.4,4200,0.15,1.1,1.7,1.1,1.5,1.4,1.5,2
Roofing,1.5,5500,0.16,1.1,2.2,1.1,1.6,1.5,1.8,2.5
Telecommunications,1.1,4500,0.18,2.2,1.2,1.6,1.3,1,1.3,1.1
Landscaping,1.5,3000,0.13,1,1.6,1,1.4,1.3,1.4,1.8
Painting,1.3,2800,0.13,1,1.3,1,1.2,1.1,1.3,1.5
Oil & Gas,1.7,8500,0.17,1.8,2,1.5,2.2,1.5,2,2.3
Entertainment,1.3,4000,0.14,1.4,1.6,1.2,1.5,1.3,1.5,1.5
Marketing & Advertising,1,2800,0.17,1.9,1.1,1.6,1,0.9,1.2,0.7
Manufacturing,1.2,4500,0.15,1.4,1.4,1.1,1.7,1.2,1.4,1.8
Distribution,1.8,4200,0.14,1.3,1.4,1.1,1.7,1.2,1.4,1.6
Retail,1.1,2500,0.12,1.6,1.2,1,1.3,1,1.2,1.1
Flooring,1.3,3000,0.13,1.1,1.4,1,1.3,1.2,1.3,1.6
Electrical,1.4,4000,0.15,1.2,1.7,1.2,1.4,1.3,1.5,1.9
Mining,1.8,9000,0.18,1.5,2.3,1.3,2,1.6,2.1,2.6
Security Services,1.5,3500,0.14,1.3,1.5,1.2,1.3,1.3,1.4,1.7
Consulting,0.9,2800,0.19,1.8,1,1.8,0.9,0.8,1.1,0.6
Engineering,1,3800,0.18,1.6,1.2,2,1.1,0.9,1.3,0.9
Healthcare,1,4000,0.16,2,1.3,2.2,1.2,1.1,1.4,1.2
Legal Services,0.9,3500,0.2,1.7,1,2.5,1,0.8,1.2,0.7
Government,1,2000,0.12,1.6,1.1,1.3,1.2,0.9,1.2,0.9
Publishing,1,2800,0.16,1.8,1.1,1.5,1.1,0.9,1.2,0.8
Plumbing,1.4,3200,0.14,1.1,1.5,1.1,1.3,1.2,1.4,1.7
Janitorial Services,1.3,2500,0.13,1.1,1.4,1,1.2,1.2,1.3,1.6
Pharmaceuticals,1,5500,0.19,2.1,1.2,2.3,1.3,1,1.3,1
Wholesale Trade,1.4,3500,0.14,1.3,1.3,1.1,1.6,1.1,1.4,1.4
Environmental,1.3,4000,0.16,1.4,1.4,1.7,1.3,1.2,1.4,1.4
Excavation,1.6,4500,0.15,1.1,1.8,1.1,1.5,1.4,1.6,2.1
Real Estate,1,2800,0.17,1.4,1.1,1.8,1.2,0.9,1.2,0.9
Professional Services,1,3000,0.18,1.8,1.1,1.7,1,0.9,1.3,0.8
IT Services,0.9,3500,0.21,2.6,1,1.9,1,0.8,1.2,0.7
Finance & Insurance,0.9,3200,0.19,1.9,1,2,1,0.8,1.2,0.6
Carpentry,1.3,3200,0.13,1,1.5,1,1.3,1.2,1.4,1.7
HVAC,1.4,3500,0.14,1.1,1.5,1.1,1.3,1.2,1.4,1.7
