SIC Code,Level 3 Term,Mapped NAICS,SIC Description,Source,Subcategory,Subcategory 2
100,100 - AGRICULTURAL PRODUCTION-CROPS,,AGRICULTURAL PRODUCTION-CROPS,Standard Industrial Classification Codes,"Agriculture, Forestry & Fishing",Agricultural Production
200,200 - AGRICULTURAL PROD-LIVESTOCK & ANIMAL SPECIALTIES,,AGRICULTURAL PROD-LIVESTOCK & ANIMAL SPECIALTIES,Standard Industrial Classification Codes,"Agriculture, Forestry & Fishing",Agricultural Production
700,700 - AGRICULTURAL SERVICES,,AGRICULTURAL SERVICES,Standard Industrial Classification Codes,"Agriculture, Forestry & Fishing",Agricultural Services
800,800 - FORESTRY,,FORESTRY,Standard Industrial Classification Codes,"Agriculture, Forestry & Fishing",Forestry & Fishing
900,"900 - FISHING, HUNTING AND TRAPPING",,"FISHING, HUNTING AND TRAPPING",Standard Industrial Classification Codes,"Agriculture, Forestry & Fishing",Forestry & Fishing
1000,1000 - METAL MINING,,METAL MINING,Standard Industrial Classification Codes,Mining & Extraction,Metal Mining
1040,1040 - GOLD AND SILVER ORES,,GOLD AND SILVER ORES,Standard Industrial Classification Codes,Mining & Extraction,Metal Mining
1090,1090 - MISCELLANEOUS METAL ORES,,MISCELLANEOUS METAL ORES,Standard Industrial Classification Codes,Mining & Extraction,Metal Mining
1220,1220 - BITUMINOUS COAL & LIGNITE MINING,,BITUMINOUS COAL & LIGNITE MINING,Standard Industrial Classification Codes,Mining & Extraction,Coal Mining
1221,1221 - BITUMINOUS COAL & LIGNITE SURFACE MINING,,BITUMINOUS COAL & LIGNITE SURFACE MINING,Standard Industrial Classification Codes,Mining & Extraction,Coal Mining
1311,1311 - CRUDE PETROLEUM & NATURAL GAS,,CRUDE PETROLEUM & NATURAL GAS,Standard Industrial Classification Codes,Mining & Extraction,Oil & Gas Extraction
1381,1381 - DRILLING OIL & GAS WELLS,,DRILLING OIL & GAS WELLS,Standard Industrial Classification Codes,Mining & Extraction,Oil & Gas Extraction
1382,1382 - OIL & GAS FIELD EXPLORATION SERVICES,,OIL & GAS FIELD EXPLORATION SERVICES,Standard Industrial Classification Codes,Mining & Extraction,Oil & Gas Extraction
1389,"1389 - OIL & GAS FIELD SERVICES, NEC",,"OIL & GAS FIELD SERVICES, NEC",Standard Industrial Classification Codes,Mining & Extraction,Oil & Gas Extraction
1400,1400 - MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS),,MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS),Standard Industrial Classification Codes,Mining & Extraction,Nonmetallic Minerals
1520,1520 - GENERAL BLDG CONTRACTORS - RESIDENTIAL BLDGS,,GENERAL BLDG CONTRACTORS - RESIDENTIAL BLDGS,Standard Industrial Classification Codes,Construction,General Building Contractors
1531,1531 - OPERATIVE BUILDERS,,OPERATIVE BUILDERS,Standard Industrial Classification Codes,Construction,General Building Contractors
1540,1540 - GENERAL BLDG CONTRACTORS - NONRESIDENTIAL BLDGS,,GENERAL BLDG CONTRACTORS - NONRESIDENTIAL BLDGS,Standard Industrial Classification Codes,Construction,General Building Contractors
1600,1600 - HEAVY CONSTRUCTION OTHER THAN BLDG CONST - CONTRACTORS,,HEAVY CONSTRUCTION OTHER THAN BLDG CONST - CONTRACTORS,Standard Industrial Classification Codes,Construction,Heavy Construction
1623,"1623 - WATER, SEWER, PIPELINE, COMM & POWER LINE CONSTRUCTION",,"WATER, SEWER, PIPELINE, COMM & POWER LINE CONSTRUCTION",Standard Industrial Classification Codes,Construction,Heavy Construction
1700,1700 - CONSTRUCTION - SPECIAL TRADE CONTRACTORS,,CONSTRUCTION - SPECIAL TRADE CONTRACTORS,Standard Industrial Classification Codes,Construction,Special Trade Contractors
1731,1731 - ELECTRICAL WORK,,ELECTRICAL WORK,Standard Industrial Classification Codes,Construction,Special Trade Contractors
2000,2000 - FOOD AND KINDRED PRODUCTS,,FOOD AND KINDRED PRODUCTS,Standard Industrial Classification Codes,Manufacturing,Food & Beverages
