source_site,source_url,source_path,file_name,size_bytes,modified_date,target_folder,priority,notes
Brand Guide,${SHAREPOINT_SITE_URL}sites/BrandGuide,allcarriers.jpg,allcarriers.jpg,55455,2024-11-10,05-Marketing/Brand-Guide/,P0,Images
Brand Guide,${SHAREPOINT_SITE_URL}sites/BrandGuide,all-free-thank-you-gif-cool-dog.gif,all-free-thank-you-gif-cool-dog.gif,45141,2023-02-09,05-Marketing/Brand-Guide/,P0,Images
Brand Guide,${SHAREPOINT_SITE_URL}sites/BrandGuide,Auto.jpeg,Auto.jpeg,312670,2023-07-27,05-Marketing/Brand-Guide/,P0,Images
Brand Guide,${SHAREPOINT_SITE_URL}sites/BrandGuide,carriers 2024-01-21 16_42_49.png,carriers 2024-01-21 16_42_49.png,359914,2024-01-21,05-Marketing/Brand-Guide/,P0,Images
Brand Guide,${SHAREPOINT_SITE_URL}sites/BrandGuide,carriers.png,carriers.png,359914,2022-11-16,05-Marketing/Brand-Guide/,P0,Images
Brand Guide,${SHAREPOINT_SITE_URL}sites/BrandGuide,Commercial Lines Photo.jpeg,Commercial Lines Photo.jpeg,9283,2024-09-28,05-Marketing/Brand-Guide/,P0,Images
Brand Guide,${SHAREPOINT_SITE_URL}sites/BrandGuide,Commercial.jpeg,Commercial.jpeg,6995801,2022-11-16,05-Marketing/Brand-Guide/,P0,Images
Brand Guide,${SHAREPOINT_SITE_URL}sites/BrandGuide,content (20).png,content (20).png,121957,2024-09-28,05-Marketing/Brand-Guide/,P0,Images
Brand Guide,${SHAREPOINT_SITE_URL}sites/BrandGuide,content (21).png,content (21).png,360307,2024-09-28,05-Marketing/Brand-Guide/,P0,Images
Brand Guide,${SHAREPOINT_SITE_URL}sites/BrandGuide,DALL·E June 26 2024.webp,DALL·E June 26 2024.webp,250214,2024-09-28,05-Marketing/Brand-Guide/,P0,Images
Brand Guide,${SHAREPOINT_SITE_URL}sites/BrandGuide,DALL·E June 26 Banner (1).webp,DALL·E June 26 Banner (1).webp,203876,2024-09-28,05-Marketing/Brand-Guide/,P0,Images
Brand Guide,${SHAREPOINT_SITE_URL}sites/BrandGuide,DALL·E June 26 Banner.webp,DALL·E June 26 Banner.webp,301002,2024-09-28,05-Marketing/Brand-Guide/,P0,Images
Brand Guide,${SHAREPOINT_SITE_URL}sites/BrandGuide,DALL·E New Business Banner.webp,DALL·E New Business Banner.webp,333698,2024-09-28,05-Marketing/Brand-Guide/,P0,Images
Brand Guide,${SHAREPOINT_SITE_URL}sites/BrandGuide,Download (1).jpeg,Download (1).jpeg,8649,2024-09-28,05-Marketing/Brand-Guide/,P0,Images
Brand Guide,${SHAREPOINT_SITE_URL}sites/BrandGuide,download.jpeg,download.jpeg,8596,2024-09-28,05-Marketing/Brand-Guide/,P0,Images
Brand Guide,${SHAREPOINT_SITE_URL}sites/BrandGuide,Follow up.png,Follow up.png,268078,2024-09-25,05-Marketing/Brand-Guide/,P0,Images
Brand Guide,${SHAREPOINT_SITE_URL}sites/BrandGuide,getpreview.png,getpreview.png,176474,2024-09-28,05-Marketing/Brand-Guide/,P0,Images
Brand Guide,${SHAREPOINT_SITE_URL}sites/BrandGuide,Gradient Icon Map Navigation App Logo.png,Gradient Icon Map Navigation App Logo.png,458129,2024-09-28,05-Marketing/Brand-Guide/,P0,Images
Brand Guide,${SHAREPOINT_SITE_URL}sites/BrandGuide,homeowners (US) (Landscape)).png,homeowners (US) (Landscape)).png,32441812,2024-09-28,05-Marketing/Brand-Guide/,P0,Images
Brand Guide,${SHAREPOINT_SITE_URL}sites/BrandGuide,HomeOwners.png,HomeOwners.png,1462323,2024-10-01,05-Marketing/Brand-Guide/,P0,Images
Brand Guide,${SHAREPOINT_SITE_URL}sites/BrandGuide,House.jpeg,House.jpeg,284484,2023-07-27,05-Marketing/Brand-Guide/,P0,Images
Brand Guide,${SHAREPOINT_SITE_URL}sites/BrandGuide,housedesign.png,housedesign.png,297206,2024-10-01,05-Marketing/Brand-Guide/,P0,Images
Brand Guide,${SHAREPOINT_SITE_URL}sites/BrandGuide,idea.png,idea.png,38270,2024-09-28,05-Marketing/Brand-Guide/,P0,Images
Brand Guide,${SHAREPOINT_SITE_URL}sites/BrandGuide,igital Product.png,igital Product.png,131207,2024-09-25,05-Marketing/Brand-Guide/,P0,Images
Brand Guide,${SHAREPOINT_SITE_URL}sites/BrandGuide,images.jpeg,images.jpeg,7919,2024-09-28,05-Marketing/Brand-Guide/,P0,Images
Brand Guide,${SHAREPOINT_SITE_URL}sites/BrandGuide,Insurance lines of business collage.jpeg,Insurance lines of business collage.jpeg,13295,2024-10-01,05-Marketing/Brand-Guide/,P0,Images
Brand Guide,${SHAREPOINT_SITE_URL}sites/BrandGuide,Insurance lines of business collage.png,Insurance lines of business collage.png,447431,2024-10-01,05-Marketing/Brand-Guide/,P0,Images
Brand Guide,${SHAREPOINT_SITE_URL}sites/BrandGuide,Launcher.png,Launcher.png,754146,2025-07-13,05-Marketing/Brand-Guide/,P0,Images
Brand Guide,${SHAREPOINT_SITE_URL}sites/BrandGuide,Learn more arrow vector.png,Learn more arrow vector.png,5662,2024-09-28,05-Marketing/Brand-Guide/,P0,Images
Brand Guide,${SHAREPOINT_SITE_URL}sites/BrandGuide,Life Insurance.png,Life Insurance.png,50791,2024-09-24,05-Marketing/Brand-Guide/,P0,Images
Brand Guide,${SHAREPOINT_SITE_URL}sites/BrandGuide,Life Insurance2.png,Life Insurance2.png,35381,2024-09-24,05-Marketing/Brand-Guide/,P0,Images
Brand Guide,${SHAREPOINT_SITE_URL}sites/BrandGuide,life.png,life.png,2553282,2024-10-01,05-Marketing/Brand-Guide/,P0,Images
Brand Guide,${SHAREPOINT_SITE_URL}sites/BrandGuide,login  Profile Frame).png,login  Profile Frame).png,942480,2024-09-28,05-Marketing/Brand-Guide/,P0,Images
Brand Guide,${SHAREPOINT_SITE_URL}sites/BrandGuide,login (Facebook Profile Frame).png,login (Facebook Profile Frame).png,1447063,2024-09-28,05-Marketing/Brand-Guide/,P0,Images
Brand Guide,${SHAREPOINT_SITE_URL}sites/BrandGuide,Login Here.png,Login Here.png,24369,2025-01-21,05-Marketing/Brand-Guide/,P0,Images
Brand Guide,${SHAREPOINT_SITE_URL}sites/BrandGuide,Login Here2.png,Login Here2.png,5060,2025-01-21,05-Marketing/Brand-Guide/,P0,Images
Brand Guide,${SHAREPOINT_SITE_URL}sites/BrandGuide,login.png,login.png,31754,2024-09-28,05-Marketing/Brand-Guide/,P0,Images
Brand Guide,${SHAREPOINT_SITE_URL}sites/BrandGuide,Looking for the Best Solution For your Client.png,Looking for the Best Solution For your Client.png,1999312,2024-09-28,05-Marketing/Brand-Guide/,P0,Images
Brand Guide,${SHAREPOINT_SITE_URL}sites/BrandGuide,Modern California Home Front Exterior.jpg,Modern California Home Front Exterior.jpg,362069,2024-09-28,05-Marketing/Brand-Guide/,P0,Images
Brand Guide,${SHAREPOINT_SITE_URL}sites/BrandGuide,Operations Icon Workflow.webp,Operations Icon Workflow.webp,5454,2024-09-28,05-Marketing/Brand-Guide/,P0,Images
Brand Guide,${SHAREPOINT_SITE_URL}sites/BrandGuide,Operations Thumbnail.png,Operations Thumbnail.png,8943,2024-09-28,05-Marketing/Brand-Guide/,P0,Images
Brand Guide,${SHAREPOINT_SITE_URL}sites/BrandGuide,PA.png,PA.png,150558,2024-09-25,05-Marketing/Brand-Guide/,P0,Images
